pmc_id,title,hit_type,risk_class,context
10216680,Epigenetic and Tumor Microenvironment for Prognosis of Patients with Gastric Cancer.,exact_alias,exact_alias_non_escc_or_review_context,"y LASSO regression analysis which identified 17 key DEGs and a support vector machine (SVM) model identified 40 significant DEGs, and based on the Venn diagram, eight co-expression genes ( ENPP6 , VMP1 , LY6E , SHISA6 , TMEM158 , SYT4 , IL11 , and KLK8 ) were discovered. Conclusion: The study identified some hub genes that could be useful in predicting prognosis and management in GC. gastric cancer tumor microenvironment epigenetics mac"
10216680,Epigenetic and Tumor Microenvironment for Prognosis of Patients with Gastric Cancer.,exact_alias,exact_alias_non_escc_or_review_context,"uch as GC. It was followed by LASSO regression analysis to identify 17 key DEGs and an SVM model to identify 40 significant DEGs, and based on the Venn diagram, eight co-expression genes ( ENPP6 , VMP1 , LY6E , SHISA6 , TMEM158 , SYT4 , IL11 , and KLK8 ) were discovered ( Figure 8 B,C). According to ROC results, AUC value for all genes was >0.86, with ENPP6 having the highest AUC value of 0.957. Figure S6 shows that the main gene risk c"
10644964,Oncogenic transmembrane protein 158 drives the PI3K/Akt signaling pathway to accelerate gastric cancer cell growth.,exact_alias,exact_alias_non_escc_or_review_context,Medical and Biological Research 0100-879X 1414-431X Associação Brasileira de Divulgação Científica PMC10644964 PMC10644964.1 10644964 10644964 37970923 10.1590/1414-431X2023e12943 00690 1 Research Article Oncogenic transmembrane protein 158 drives the PI3K/Akt signaling pathway to accelerate gastric cancer cell growth http://orcid.org/0009-0004-1497-5076 Cui Xiaoting 1 http://orcid.org/0009-0006-4152-9834 Lu Jie 2 http://orcid.org/
10644964,Oncogenic transmembrane protein 158 drives the PI3K/Akt signaling pathway to accelerate gastric cancer cell growth.,exact_alias,exact_alias_non_escc_or_review_context,"and reproduction in any medium, provided the original work is properly cited. Gastric cancer (GC) is a serious threat to human health and an important cause of cancer-related death. Herein, we evaluated the influence of transmembrane protein 158 (TMEM158) on GC cell growth. According to Genomic Spatial Event (GSE) and The Cancer Genome Atlas (TCGA) databases, TMEM158 content is amplified in GC tissues. The diagnostic value of TMEM158 ex"
10644964,Oncogenic transmembrane protein 158 drives the PI3K/Akt signaling pathway to accelerate gastric cancer cell growth.,exact_alias,exact_alias_non_escc_or_review_context,"ium, provided the original work is properly cited. Gastric cancer (GC) is a serious threat to human health and an important cause of cancer-related death. Herein, we evaluated the influence of transmembrane protein 158 (TMEM158) on GC cell growth. According to Genomic Spatial Event (GSE) and The Cancer Genome Atlas (TCGA) databases, TMEM158 content is amplified in GC tissues. The diagnostic value of TMEM158 expression in GC is huge. GC "
10644964,Oncogenic transmembrane protein 158 drives the PI3K/Akt signaling pathway to accelerate gastric cancer cell growth.,exact_alias,exact_alias_non_escc_or_review_context,"mportant cause of cancer-related death. Herein, we evaluated the influence of transmembrane protein 158 (TMEM158) on GC cell growth. According to Genomic Spatial Event (GSE) and The Cancer Genome Atlas (TCGA) databases, TMEM158 content is amplified in GC tissues. The diagnostic value of TMEM158 expression in GC is huge. GC sufferers with high expression of TMEM158 were associated with poor overall survival. In addition, TMEM158 content "
10644964,Oncogenic transmembrane protein 158 drives the PI3K/Akt signaling pathway to accelerate gastric cancer cell growth.,exact_alias,exact_alias_non_escc_or_review_context,"luence of transmembrane protein 158 (TMEM158) on GC cell growth. According to Genomic Spatial Event (GSE) and The Cancer Genome Atlas (TCGA) databases, TMEM158 content is amplified in GC tissues. The diagnostic value of TMEM158 expression in GC is huge. GC sufferers with high expression of TMEM158 were associated with poor overall survival. In addition, TMEM158 content was increased in GC cells. TMEM158 promoted GC cell proliferation by"
9395270,TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas.,exact_alias,manual_high_priority_exact_alias_escc_context, Gene Ther 981 npgopen Cancer Gene Therapy 0929-1903 1476-5500 pmc-is-collection-domain yes pmc-collection-title Nature Portfolio PMC9395270 PMC9395270.1 9395270 9395270 34992215 10.1038/s41417-021-00414-5 414 1 Article TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas http://orcid.org/0000-0002-9288-9673 Li Jiabo 1 2 Wang Xuya 1 2 Chen Lulu 1 2 Zhang Jinhao 1 2 Zhang Yiming 1 2 Ren Xi
9395270,TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas.,exact_alias,manual_high_priority_exact_alias_escc_context,"y statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ . Correction: TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas 31 3 26 1 2024 495 496 Cancer Gene Therapy 10.1038/s41417-024-00733-3 PMC10940149 38272983 Glioblastoma is the most co"
9395270,TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas.,exact_alias,manual_high_priority_exact_alias_escc_context,"stomas 31 3 26 1 2024 495 496 Cancer Gene Therapy 10.1038/s41417-024-00733-3 PMC10940149 38272983 Glioblastoma is the most common primary intracranial malignant tumor in adults and has high morbidity and high mortality. TMEM158 has been reported to promote the progression of solid tumors. However, its potential role in glioma is still unclear. Here, we found that TMEM158 expression in human glioma cells in the tumor core was significant"
